Date,Open,High,Low,Close,Up votes,Down votes
2022-02-24,23268.03,23376.37,22786.39,22901.56,0.69,0.31000000000000005
2022-02-25,22908.1,23046.86,22718.15,22767.18,0.36,0.64
2022-02-28,22818.17,22818.17,22406.12,22713.02,0.61,0.39
2022-03-01,22739.84,22937.56,22591.73,22761.71,0.49,0.51
2022-03-02,22568.36,22712.44,22299.14,22343.92,0.48,0.52
2022-03-03,22434.26,22543.42,22378.11,22467.34,0.5,0.5
2022-03-04,21879.13,22017.94,21838.99,21905.29,0.535764705882353,0.46423529411764697
2022-03-07,21308.9,21327.19,20826.36,21057.63,0.41,0.5900000000000001
2022-03-08,21082.39,21303.52,20638.95,20765.87,0.67,0.32999999999999996
2022-03-09,20820.02,20957.72,20102.57,20627.71,0.55,0.44999999999999996
2022-03-10,21106.57,21114.44,20709.62,20890.26,0.73,0.27
2022-03-11,20460.03,20778.86,20079.15,20553.79,0.36,0.64
2022-03-14,20203.84,20203.84,19416.78,19531.66,0.62,0.38
2022-03-15,18931.18,19392.69,18235.48,18415.08,0.41,0.5900000000000001
2022-03-16,18956.02,20120.85,18584.04,20087.5,0.51,0.49
2022-03-17,21430.71,21501.23,20786.69,21501.23,0.7,0.30000000000000004
2022-03-18,21232.88,21646.15,20922.37,21412.4,0.3,0.7
2022-03-21,21823.07,21823.07,21096.31,21221.34,0.57,0.43000000000000005
2022-03-22,21319.19,21906.32,21266.9,21889.28,0.46,0.54
2022-03-26,22088.79,22423.51,21983.1,22154.08,0.28,0.72
2022-03-24,22002.87,22231.67,21900.13,21945.95,0.3,0.7
2022-03-25,21735.61,21944.08,21289.26,21404.88,0.3,0.7
2022-03-28,21422.2,21790.97,21202.69,21684.97,0.49,0.51
2022-03-29,21771.29,21937.27,21722.17,21927.63,0.56,0.43999999999999995
2022-03-30,22101.63,22391.35,22033.78,22232.0,0.74,0.26
2022-03-31,22262.16,22262.16,21922.58,21996.85,0.51,0.49
2022-04-01,21693.1,22039.55,21558.05,22039.55,0.32,0.6799999999999999
2022-04-04,22227.11,22523.64,22124.03,22502.31,0.67,0.32999999999999996
2022-04-06,22220.21,22244.99,22015.12,22080.52,0.53,0.47
2022-04-07,21910.4,22236.93,21779.19,21808.98,0.35,0.65
2022-04-08,21667.53,21872.01,21568.22,21872.01,0.4,0.6
2022-04-11,21688.03,21688.03,21132.54,21208.3,0.63,0.37
2022-04-12,21279.18,21519.13,20988.2,21319.13,0.56,0.43999999999999995
2022-04-13,21192.62,21531.48,21141.06,21374.37,0.67,0.32999999999999996
2022-04-14,21463.35,21587.47,21358.73,21518.08,0.61,0.39
2022-04-19,21106.0,21191.8,20896.43,21027.76,0.45,0.55
2022-04-20,20972.84,21214.98,20889.02,20944.67,0.5,0.5
2022-04-21,20780.86,20920.6,20483.86,20682.22,0.48,0.52
2022-04-22,20261.61,20709.49,20184.96,20638.52,0.48,0.52
2022-04-25,20284.6,20284.6,19784.28,19869.34,0.56,0.43999999999999995
2022-04-26,19989.04,20258.64,19858.36,19934.71,0.46,0.54
2022-04-27,19723.46,20053.11,19665.49,19946.36,0.33,0.6699999999999999
2022-04-28,20118.79,20286.83,19956.67,20276.17,0.58,0.42000000000000004
2022-04-29,20271.4,21176.58,20040.07,21089.39,0.57,0.43000000000000005
2022-05-03,20927.62,21291.8,20648.53,21101.89,0.47,0.53
2022-05-04,21025.7,21047.13,20772.8,20869.52,0.59,0.41000000000000003
2022-05-05,21163.15,21284.85,20776.97,20793.4,0.49,0.51
2022-05-06,20287.06,20320.28,19973.47,20001.96,0.31,0.69
2022-05-10,19300.68,19758.63,19178.89,19633.69,0.28,0.72
2022-05-11,19511.8,20083.49,19474.03,19824.57,0.58,0.42000000000000004
2022-05-12,19556.89,19731.27,19342.89,19380.34,0.52,0.48
2022-05-13,19615.99,19925.44,19608.26,19898.77,0.37,0.63
2022-05-16,20131.53,20173.22,19764.96,19950.21,0.52,0.48
2022-05-17,20193.6,20626.42,20169.24,20602.52,0.67,0.32999999999999996
2022-05-18,20674.23,20711.93,20389.61,20644.28,0.67,0.32999999999999996
2022-05-19,20146.96,20277.94,19924.87,20120.68,0.37,0.63
2022-05-20,20470.95,20794.13,20408.68,20717.24,0.52,0.48
2022-05-23,20608.65,20642.76,20303.55,20470.06,0.57,0.43000000000000005
2022-05-24,20420.14,20509.62,19989.62,20112.1,0.6,0.4
2022-05-25,20115.56,20370.74,20067.98,20171.27,0.4,0.6
2022-05-26,20272.22,20272.22,19890.76,20116.2,0.58,0.42000000000000004
2022-05-27,20646.06,20779.75,20494.15,20697.36,0.78,0.21999999999999997
2022-05-30,20933.5,21169.08,20885.02,21123.93,0.66,0.33999999999999997
2022-05-31,21106.41,21415.2,21029.72,21415.2,0.67,0.32999999999999996
2022-06-01,21407.79,21411.95,21154.04,21294.94,0.54,0.45999999999999996
2022-06-02,21057.04,21115.78,20884.16,21082.13,0.57,0.43000000000000005
2022-06-06,21282.51,21691.92,21030.07,21653.9,0.62,0.38
2022-06-07,21577.48,21744.46,21394.59,21531.67,0.74,0.26
2022-06-08,21788.89,22064.12,21734.49,22014.59,0.55,0.44999999999999996
2022-06-09,22121.53,22142.82,21737.94,21869.05,0.57,0.43000000000000005
2022-06-10,21522.5,21935.01,21487.91,21806.18,0.45,0.55
2022-06-13,21162.53,21320.15,20993.76,21067.58,0.36,0.64
2022-06-14,20783.54,21175.01,20717.64,21067.99,0.29,0.71
2022-06-15,21111.32,21431.07,21111.32,21308.21,0.59,0.41000000000000003
2022-06-16,21515.64,21545.84,20697.41,20845.43,0.61,0.39
2022-06-17,20716.74,21145.94,20697.17,21075.0,0.35,0.65
2022-06-20,20948.8,21175.98,20839.02,21163.91,0.65,0.35
2022-06-21,21264.98,21564.87,21175.95,21559.59,0.61,0.39
2022-06-22,21469.74,21519.58,21008.34,21008.34,0.67,0.32999999999999996
2022-06-23,21157.58,21443.59,21010.89,21273.87,0.52,0.48
2022-06-24,21450.68,21762.67,21408.66,21719.06,0.64,0.36
2022-06-27,21976.8,22414.43,21976.8,22229.52,0.62,0.38
2022-06-28,22144.63,22449.31,21952.44,22418.97,0.57,0.43000000000000005
2022-06-29,22125.61,22289.07,21844.05,21996.89,0.69,0.31000000000000005
2022-06-30,21917.45,22111.91,21719.17,21859.79,0.55,0.44999999999999996
2022-07-04,21690.68,21886.35,21458.63,21830.35,0.43,0.5700000000000001
2022-07-05,22053.16,22198.51,21799.19,21853.07,0.6,0.4
2022-07-06,21777.64,21833.4,21286.66,21586.66,0.36,0.64
2022-07-07,21352.7,21643.58,21200.93,21643.58,0.5,0.5
2022-07-08,21961.75,21961.75,21614.65,21725.78,0.73,0.27
